"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID","MapPointName","MapPointType","lat","lon"
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,1,14,NA,NA,NA,NA
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,2,23,"bab_to_med","waypoint",42.298573,-71.260706
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,3,24,"bab_to_med","waypoint",42.293581,-71.256293
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,4,25,"bab_to_med","waypoint",42.291787,-71.250006
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,5,26,"bab_to_med","waypoint",42.28708,-71.251815
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,6,27,"bab_to_med","waypoint",42.279246,-71.253693
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,7,28,"bab_to_med","waypoint",42.276003,-71.255898
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,8,29,"bab_to_med","waypoint",42.272994,-71.264556
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,9,30,"bab_to_med","waypoint",42.270557,-71.266476
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,10,31,"bab_to_med","waypoint",42.270386,-71.26823
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,11,32,"bab_to_med","waypoint",42.268354,-71.273267
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,12,33,"bab_to_med","waypoint",42.269438,-71.276856
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,13,34,"bab_to_med","waypoint",42.269184,-71.27876
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,14,35,"bab_to_med","waypoint",42.269191,-71.301767
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,15,36,"bab_to_med","waypoint",42.266301,-71.30083
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,16,37,"bab_to_med","waypoint",42.262244,-71.299285
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,17,38,"bab_to_med","waypoint",42.257019,-71.297515
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,18,39,"bab_to_med","waypoint",42.25177,-71.297848
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,19,40,"bab_to_med","waypoint",42.241774,-71.299093
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,20,41,"bab_to_med","waypoint",42.240503,-71.305155
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,21,42,"bab_to_med","waypoint",42.240662,-71.309178
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,22,43,"bab_to_med","waypoint",42.230662,-71.325958
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,23,44,"bab_to_med","waypoint",42.21942,-71.321298
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,24,45,"bab_to_med","waypoint",42.218201,-71.321576
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,25,46,"bab_to_med","waypoint",42.21364,-71.323861
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,26,47,"bab_to_med","waypoint",42.201465,-71.323346
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,27,48,"bab_to_med","waypoint",42.198215,-71.316597
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,28,49,"bab_to_med","waypoint",42.196755,-71.312153
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,29,50,"bab_to_med","waypoint",42.192248,-71.30961
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,30,51,"bab_to_med","waypoint",42.186763,-71.305512
