"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentWaypointSequence","WaypointID","WaypointName","WaypointType","X","lat","lon"
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,1,1,"Sturbridge","waterstop",NA,42.112956,-72.088047
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,2,2,"Whitinsville","waterstop",NA,42.108915,-71.6611197
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,3,3,"Franklin","waterstop",NA,42.0562035,-71.4209738
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,4,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,1,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,2,5,"Wareham","waterstop",NA,41.7544763,-70.6988275
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,3,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,3,1,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,3,2,7,"Barnstable","waterstop",NA,41.693277,-70.2867777
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,3,3,8,"Brewster","waterstop",NA,41.775664,-70.0328457
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,1,8,"Brewster","waterstop",NA,41.775664,-70.0328457
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,2,18,"Orleans","waypoint",NA,41.786517,-69.993219
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,3,19,"Dunes 1","waypoint",NA,41.836695,-69.974247
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,4,20,"Dunes 2","waypoint",NA,41.915542,-69.988282
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,5,21,"Dunes 3","waypoint",NA,42.034514,-70.080342
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,6,22,"Dunes 4","waypoint",NA,42.065769,-70.153044
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,7,9,"P-Town Inn","waterstop",NA,42.037038,-70.1984947
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",1,1,1,1,"Sturbridge","waterstop",NA,42.112956,-72.088047
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",1,1,2,2,"Whitinsville","waterstop",NA,42.108915,-71.6611197
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",1,1,3,3,"Franklin","waterstop",NA,42.0562035,-71.4209738
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",1,1,4,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",2,2,1,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",2,2,2,5,"Wareham","waterstop",NA,41.7544763,-70.6988275
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",2,2,3,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",3,3,1,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
2,"2 Day","Sturbridge to P-Town Family Finish","Sturbridge to P-Town Family Finish",3,3,2,7,"Barnstable","waterstop",NA,41.693277,-70.2867777
