RouteID,RouteType,RoutName,RouteDescription
1,2 Day,Sturbridge to P-Town Inn,Sturbridge to P-Town Inn
2,2 Day,Sturbridge to P-Town Family Finish,Sturbridge to P-Town Family Finish
3,2 Day,Sturbridge to Babson,Sturbridge to Babson
4,2 Day,Babson to P-Town Inn,Babson to P-Town Inn
5,2 Day,Babson to P-Town Family Finish,Babson to P-Town Family Finish
6,1 Day,Sturbridge to MMA,Sturbridge to MMA
7,1 Day,Babson to MMA,Babson to MMA
8,1 Day,MMA to Babson,MMA to Babson
9,1 Day,Babson to Patriot Place to Babson,Babson to Patriot Place to Babson
10,1 Day,Babson to Patriot Place,Babson to Patriot Place
