SegmentID,SegmentWaypointSequence,WaypointID
1,1,1
1,2,2
1,3,3
1,4,4
2,1,4
2,2,5
2,3,6
3,1,6
3,2,7
3,3,8
4,1,8
4,2,18
4,3,19
4,4,20
4,5,21
4,6,22
4,7,9
5,1,8
5,2,10
6,1,14
6,2,16
6,3,4
7,1,6
7,2,11
7,3,12
8,1,14
8,2,23
8,3,24
8,4,25
8,5,26
8,6,27
8,7,28
8,8,29
8,9,30
8,10,31
8,11,32
8,12,33
8,13,34
8,14,35
8,15,36
8,16,37
8,17,38
8,18,39
8,19,40
8,20,41
8,21,42
8,22,43
8,23,44
8,24,45
8,25,46
8,26,47
8,27,48
8,28,49
8,29,50
8,30,51
8,31,52
8,32,53
8,33,54
8,34,55
8,35,15
8,36,56
8,37,57
8,38,58
8,39,59
8,40,60
8,41,61
8,42,62
8,43,63
8,44,64
8,45,65
8,46,66
8,47,67
8,48,68
8,49,69
8,50,70
8,51,71
8,52,72
8,53,73
8,54,74
8,55,75
8,56,76
8,57,77
8,58,78
8,59,79
8,60,12
9,1,12
9,2,80
9,3,81
9,4,82
9,5,83
9,6,84
9,7,85
9,8,86
9,9,87
9,10,88
9,11,89
9,12,90
9,13,91
9,14,92
9,15,93
9,16,94
9,17,95
9,18,96
9,19,97
9,20,98
9,21,99
9,22,100
9,23,101
9,24,102
9,25,103
9,26,104
9,27,105
9,28,106
9,29,107
9,30,108
9,31,13
9,32,109
9,33,110
9,34,111
9,35,112
9,36,113
9,37,114
9,38,115
9,39,116
9,40,117
9,41,118
9,42,119
9,43,120
9,44,121
9,45,122
9,46,123
9,47,124
9,48,125
9,49,14
