WaypointID,WaypointName,WaypointType,lat,lon
1,Sturbridge,hub,42.112956,-72.088047
2,Whitinsville,waterstop,42.108915,-71.6611197
3,Franklin,waterstop,42.0562035,-71.4209738
4,Dighton Rehoboth,hub,41.8519348,-71.2030106
5,Wareham,waterstop,41.7544763,-70.6988275
6,Mass Maritime Academy,hub,41.7408513,-70.6220555
7,Barnstable,waterstop,41.693277,-70.2867777
8,Brewster,waterstop,41.775664,-70.0328457
9,P-Town Inn,hub,42.037038,-70.1984947
10,P-Town Family Finish,hub,42.045892,-70.2178367
11,Middleboro,waterstop,41.907339,-70.889621
12,Patriot Place,waterstop,42.088364,-71.261623
13,Walpole,waterstop,42.163221,-71.237889
14,Babson,hub,42.295982,-71.262889
15,Medfield,waterstop,42.185626,-71.297562
16,Wrentham,waterstop,42.083569,-71.326356
17,babson - do not use,waterstop,42.294696,-71.262715
18,Orleans,waypoint,41.786517,-69.993219
19,Dunes 1,waypoint,41.836695,-69.974247
20,Dunes 2,waypoint,41.915542,-69.988282
21,Dunes 3,waypoint,42.034514,-70.080342
22,Dunes 4,waypoint,42.065769,-70.153044
23,bab_to_med_1,waypoint,42.298573,-71.260706
24,bab_to_med_2,waypoint,42.293581,-71.256293
25,bab_to_med_3,waypoint,42.291787,-71.250006
26,bab_to_med_4,waypoint,42.28708,-71.251815
27,bab_to_med_5,waypoint,42.279246,-71.253693
28,bab_to_med_6,waypoint,42.276003,-71.255898
29,bab_to_med_7,waypoint,42.272994,-71.264556
30,bab_to_med_8,waypoint,42.270557,-71.266476
31,bab_to_med_9,waypoint,42.270386,-71.26823
32,bab_to_med_10,waypoint,42.268354,-71.273267
33,bab_to_med_11,waypoint,42.269438,-71.276856
34,bab_to_med_12,waypoint,42.269184,-71.27876
35,bab_to_med_13,waypoint,42.269191,-71.301767
36,bab_to_med_14,waypoint,42.266301,-71.30083
37,bab_to_med_15,waypoint,42.262244,-71.299285
38,bab_to_med_16,waypoint,42.257019,-71.297515
39,bab_to_med_17,waypoint,42.25177,-71.297848
40,bab_to_med_18,waypoint,42.241774,-71.299093
41,bab_to_med_19,waypoint,42.240503,-71.305155
42,bab_to_med_20,waypoint,42.240662,-71.309178
43,bab_to_med_21,waypoint,42.230662,-71.325958
44,bab_to_med_22,waypoint,42.21942,-71.321298
45,bab_to_med_23,waypoint,42.218201,-71.321576
46,bab_to_med_24,waypoint,42.21364,-71.323861
47,bab_to_med_25,waypoint,42.201465,-71.323346
48,bab_to_med_26,waypoint,42.198215,-71.316597
49,bab_to_med_27,waypoint,42.196755,-71.312153
50,bab_to_med_28,waypoint,42.192248,-71.30961
51,bab_to_med_29,waypoint,42.186763,-71.305512
52,bab_to_med_30,waypoint,42.188099,-71.301349
