"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID","MapPointName","MapPointType","lat","lon"
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,1,184,"stur_to_whit","waypoint",42.111891,-72.087195
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,2,185,"stur_to_whit","waypoint",42.106167,-71.68397
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,3,186,"whit_to_frank","waypoint",42.095666,-71.643973
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,4,187,"whit_to_frank","waypoint",42.056275,-71.41965
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,5,188,"frank_to_lunch","waypoint",42.055184,-71.422568
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,6,189,"frank_to_lunch","waypoint",41.851921,-71.19944
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",2,2,1,190,"dr_to_mma","waypoint",41.851088,-71.195232
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",2,2,2,191,"dr_to_mma","waypoint",41.742584,-70.618693
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",3,7,1,192,"mma_to_pat","waypoint",41.742584,-70.618693
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",3,7,2,193,"mma_to_pat","waypoint",42.085339,-71.257104
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,2,80,"pat_to_wal","waypoint",42.085002,-71.257779
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,3,81,"pat_to_wal","waypoint",42.074678,-71.259244
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,4,82,"pat_to_wal","waypoint",42.074678,-71.259244
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,5,83,"pat_to_wal","waypoint",42.076374,-71.245801
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,6,84,"pat_to_wal","waypoint",42.074025,-71.238484
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,7,85,"pat_to_wal","waypoint",42.079153,-71.232808
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,8,86,"pat_to_wal","waypoint",42.084815,-71.231091
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,9,87,"pat_to_wal","waypoint",42.098087,-71.218013
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,10,88,"pat_to_wal","waypoint",42.09999,-71.216425
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,11,89,"pat_to_wal","waypoint",42.10319,-71.209494
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,12,90,"pat_to_wal","waypoint",42.108897,-71.210567
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,13,91,"pat_to_wal","waypoint",42.110298,-71.210824
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,14,92,"pat_to_wal","waypoint",42.116673,-71.208453
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,15,93,"pat_to_wal","waypoint",42.116673,-71.208453
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,16,94,"pat_to_wal","waypoint",42.116673,-71.208453
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,17,95,"pat_to_wal","waypoint",42.124973,-71.209129
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,18,96,"pat_to_wal","waypoint",42.12954,-71.210899
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,19,97,"pat_to_wal","waypoint",42.135674,-71.208292
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,20,98,"pat_to_wal","waypoint",42.140352,-71.209923
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,21,99,"pat_to_wal","waypoint",42.140273,-71.218506
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,22,100,"pat_to_wal","waypoint",42.142302,-71.222229
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,23,101,"pat_to_wal","waypoint",42.153001,-71.215481
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,24,102,"pat_to_wal","waypoint",42.15592,-71.224504
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,25,103,"pat_to_wal","waypoint",42.155117,-71.228828
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,26,104,"pat_to_wal","waypoint",42.155252,-71.230201
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,27,105,"pat_to_wal","waypoint",42.1593,-71.23446
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,28,106,"pat_to_wal","waypoint",42.158481,-71.2377
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,29,107,"pat_to_wal","waypoint",42.160119,-71.240371
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,30,108,"pat_to_wal","waypoint",42.162211,-71.237549
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,32,109,"wal_to_bab","waypoint",42.163794,-71.236608
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,33,110,"wal_to_bab","waypoint",42.201554,-71.249127
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,34,111,"wal_to_bab","waypoint",42.204155,-71.259142
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,35,112,"wal_to_bab","waypoint",42.221692,-71.264756
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,36,113,"wal_to_bab","waypoint",42.22321,-71.270292
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,37,114,"wal_to_bab","waypoint",42.244277,-71.280255
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,38,115,"wal_to_bab","waypoint",42.25432,-71.272027
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,39,116,"wal_to_bab","waypoint",42.258833,-71.271842
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,40,117,"wal_to_bab","waypoint",42.259182,-71.270973
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,41,118,"wal_to_bab","waypoint",42.272063,-71.265744
