"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID","MapPointName","MapPointType","lat","lon"
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,1,184,"stur_to_whit","waypoint",42.111891,-72.087195
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,2,185,"stur_to_whit","waypoint",42.106167,-71.68397
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,3,186,"whit_to_frank","waypoint",42.095666,-71.643973
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,4,187,"whit_to_frank","waypoint",42.056275,-71.41965
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,5,188,"frank_to_lunch","waypoint",42.055184,-71.422568
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,6,189,"frank_to_lunch","waypoint",41.851921,-71.19944
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,1,190,"dr_to_mma","waypoint",41.851088,-71.195232
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,2,191,"dr_to_mma","waypoint",41.742584,-70.618693
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,1,194,"mma_to_barn","waypoint",41.745191,-70.615576
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,2,195,"mma_to_barn","waypoint",41.751917,-70.592264
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,3,196,"mma_to_barn","waypoint",41.743539,-70.586394
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,4,197,"mma_to_barn","waypoint",41.768044,-70.523044
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,5,198,"mma_to_barn","waypoint",41.696024,-70.344294
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,6,199,"barn_to_brew","waypoint",41.7051,-70.223972
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,7,200,"barn_to_brew","waypoint",41.756262,-70.090407
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,8,18,"brew_to_ptown","waypoint",41.786517,-69.993219
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,9,19,"brew_to_ptown","waypoint",41.836695,-69.974247
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,10,20,"brew_to_ptown","waypoint",41.915542,-69.988282
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,11,21,"brew_to_ptown","waypoint",42.034514,-70.080342
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,12,22,"brew_to_ptown","waypoint",42.065769,-70.153044
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4,13,201,"brew_to_ptown","waypoint",42.039242,-70.199969
