"MapPointID","MapPointName","MapPointType","lat","lon"
18,"brew_to_ptown","waypoint",41.786517,-69.993219
19,"brew_to_ptown","waypoint",41.836695,-69.974247
20,"brew_to_ptown","waypoint",41.915542,-69.988282
21,"brew_to_ptown","waypoint",42.034514,-70.080342
22,"brew_to_ptown","waypoint",42.065769,-70.153044
23,"bab_to_med","waypoint",42.298573,-71.260706
24,"bab_to_med","waypoint",42.293581,-71.256293
25,"bab_to_med","waypoint",42.291787,-71.250006
26,"bab_to_med","waypoint",42.28708,-71.251815
27,"bab_to_med","waypoint",42.279246,-71.253693
28,"bab_to_med","waypoint",42.276003,-71.255898
29,"bab_to_med","waypoint",42.272994,-71.264556
30,"bab_to_med","waypoint",42.270557,-71.266476
31,"bab_to_med","waypoint",42.270386,-71.26823
32,"bab_to_med","waypoint",42.268354,-71.273267
33,"bab_to_med","waypoint",42.269438,-71.276856
34,"bab_to_med","waypoint",42.269184,-71.27876
35,"bab_to_med","waypoint",42.269191,-71.301767
36,"bab_to_med","waypoint",42.266301,-71.30083
37,"bab_to_med","waypoint",42.262244,-71.299285
38,"bab_to_med","waypoint",42.257019,-71.297515
39,"bab_to_med","waypoint",42.25177,-71.297848
40,"bab_to_med","waypoint",42.241774,-71.299093
41,"bab_to_med","waypoint",42.240503,-71.305155
42,"bab_to_med","waypoint",42.240662,-71.309178
43,"bab_to_med","waypoint",42.230662,-71.325958
44,"bab_to_med","waypoint",42.21942,-71.321298
45,"bab_to_med","waypoint",42.218201,-71.321576
46,"bab_to_med","waypoint",42.21364,-71.323861
47,"bab_to_med","waypoint",42.201465,-71.323346
48,"bab_to_med","waypoint",42.198215,-71.316597
49,"bab_to_med","waypoint",42.196755,-71.312153
50,"bab_to_med","waypoint",42.192248,-71.30961
51,"bab_to_med","waypoint",42.186763,-71.305512
52,"bab_to_med","waypoint",42.188099,-71.301349
53,"bab_to_med","waypoint",42.188997,-71.298914
54,"bab_to_med","waypoint",42.18759,-71.297208
55,"bab_to_med","waypoint",42.186803,-71.29621
56,"med_to_pat","waypoint",42.184974,-71.298077
57,"med_to_pat","waypoint",42.184171,-71.297347
58,"med_to_pat","waypoint",42.183344,-71.298667
59,"med_to_pat","waypoint",42.183344,-71.298667
60,"med_to_pat","waypoint",42.176769,-71.295834
61,"med_to_pat","waypoint",42.172976,-71.298409
62,"med_to_pat","waypoint",42.171529,-71.297776
63,"med_to_pat","waypoint",42.165676,-71.300233
64,"med_to_pat","waypoint",42.155608,-71.302475
65,"med_to_pat","waypoint",42.140956,-71.312099
66,"med_to_pat","waypoint",42.122974,-71.311123
67,"med_to_pat","waypoint",42.120467,-71.31078
68,"med_to_pat","waypoint",42.121478,-71.303806
69,"med_to_pat","waypoint",42.111936,-71.283915
70,"med_to_pat","waypoint",42.107932,-71.283443
71,"med_to_pat","waypoint",42.103323,-71.28163
72,"med_to_pat","waypoint",42.101206,-71.276255
73,"med_to_pat","waypoint",42.10119,-71.269496
74,"med_to_pat","waypoint",42.104414,-71.266288
75,"med_to_pat","waypoint",42.105035,-71.261481
76,"med_to_pat","waypoint",42.102161,-71.25911
77,"med_to_pat","waypoint",42.095705,-71.256042
78,"med_to_pat","waypoint",42.085992,-71.256278
79,"med_to_pat","waypoint",42.085339,-71.257104
80,"pat_to_wal","waypoint",42.085002,-71.257779
81,"pat_to_wal","waypoint",42.074678,-71.259244
82,"pat_to_wal","waypoint",42.074678,-71.259244
83,"pat_to_wal","waypoint",42.076374,-71.245801
84,"pat_to_wal","waypoint",42.074025,-71.238484
85,"pat_to_wal","waypoint",42.079153,-71.232808
86,"pat_to_wal","waypoint",42.084815,-71.231091
87,"pat_to_wal","waypoint",42.098087,-71.218013
88,"pat_to_wal","waypoint",42.09999,-71.216425
89,"pat_to_wal","waypoint",42.10319,-71.209494
90,"pat_to_wal","waypoint",42.108897,-71.210567
91,"pat_to_wal","waypoint",42.110298,-71.210824
92,"pat_to_wal","waypoint",42.116673,-71.208453
93,"pat_to_wal","waypoint",42.116673,-71.208453
94,"pat_to_wal","waypoint",42.116673,-71.208453
95,"pat_to_wal","waypoint",42.124973,-71.209129
96,"pat_to_wal","waypoint",42.12954,-71.210899
97,"pat_to_wal","waypoint",42.135674,-71.208292
98,"pat_to_wal","waypoint",42.140352,-71.209923
